EstacaoCodigo,Data,Maxima,Total,DiaMaxima,NumDiasDeChuva,TotalAnual,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
734006,01/08/2014,15.2,79,22,20,,1.3,0,0,0,0,0,5.3,1,0,0.2,9.8,0.2,3.2,0,0.7,5.6,5.4,5.3,2.4,1.9,0,15.2,1.6,0,0.2,1,0,9.8,8.5,0.4,0
734006,01/07/2014,32.6,153.1,13,25,,0,0.4,6,0.2,0,2.2,0,7.8,14.2,4,0,1.6,32.6,21.5,0.2,15.2,1,5.2,7.2,1.2,0.1,0.4,0,1.9,3.4,7.8,0,16.8,0.8,0.7,0.7
734006,01/06/2014,67.4,234.2,24,24,,3.2,0.2,0,0,0.1,63.6,0.2,2,0.5,1.6,0.1,5.8,3.8,5.6,38.8,0.2,0,0,7.6,0,2.4,1.8,6.8,67.4,7.4,6,0,0.4,8.5,0.2,
734006,01/05/2014,75.5,265,14,21,,0.4,6.2,44.4,2,15.2,21.4,16.7,1.2,0,0,0.4,0.1,6.6,75.5,11.6,5.6,15.9,0,0,0,3.8,3.4,2.8,0,0,0,2.4,12.8,16.6,0,0
734006,01/04/2014,39.2,134.1,29,17,,0,0,0,0.2,13,7.4,0,0,9.4,0,0.4,6,9.8,0.3,3.4,0,20,0,1.6,4.2,6.4,1.2,0.4,0,0,0,0,0,39.2,11.2,
734006,01/03/2014,41.4,150.5,14,19,,0.4,1,0,1.2,0,10.4,0.6,0,2.8,0.3,0.2,20.2,9.8,41.4,15.2,0,0.2,2.4,3.8,15,0,2.2,0,0,0,22.4,0,1,0,0,0
734006,01/02/2014,29.1,108.2,13,12,,0,6.6,1.2,16.4,0,3.8,0.2,1.3,0,28.2,0,0.2,29.1,0,0,0,0,8,0,0,0.8,0,12.4,0,0,0,0,0,,,
734006,01/01/2014,21.8,85.8,6,12,,0,0.4,0,0,0,21.8,0.6,0,11.2,11.4,0,2.7,6.2,0,0,0,0,0,4.2,0,0,0,0,0,0,0,4.6,0,4.8,17.2,0.7
734006,01/12/2013,6.7,21.4,1,13,,6.7,0.4,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.2,0.7,0.4,2.9,2.8,1,1.6,0,0,0.4,0,0.6,0,0,3.2,0
734006,01/11/2013,10.2,33.4,21,11,,0.6,8.2,8.2,0.7,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0.4,0,0.4,10.2,3,0,0,0,0,0,0,0,0.3,
734006,01/10/2013,11,40.2,25,16,,1.2,0,0,0,0,0,0,0,0.4,0,0,0.8,2.8,0.6,1.2,0.2,0,0,0,0,1.6,0.4,0.4,0.4,11,6,7.8,4.4,0,0,1
734006,01/09/2013,159.2,287.5,4,21,,2.3,0.2,16.8,159.2,0,2.4,0,3.4,4.7,22.8,1.4,14.4,19.7,7.6,13,0,0,0,0,0,1.8,2.5,4.3,5.2,3.6,0,0.2,1.6,0.4,0,
