EstacaoCodigo,Data,Maxima,Minima,Media,DiaMaxima,DiaMinima,MediaAnual,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31
38830000,03/01/16,5.76,0,1.53,1,20,,5.7591,4.9276,4.9276,4.4161,4.4161,3.9381,3.4927,3.0791,2.6966,2.1791,1.5896,1.4595,1.1084,0.8138,0.6471,0.6471,0.5722,0.4388,0.2329,0,0,0,0,0,0,0,0,0,0,0,0
38830000,02/01/16,104.66,0,9.28,14,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,104.6566,28.9431,14.4188,10.7281,8.3712,6.9917,14.0696,9.5056,7.6627,6.9917,6.3574,17.3231,11.1555,8.3712,7.3225,6.3574,,
38830000,01/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,12/01/15,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,11/01/15,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,10/01/15,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,09/01/15,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,08/01/15,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,07/01/15,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,06/01/15,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,05/01/15,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,04/01/15,65.64,0,25.92,8,1,,0,0,0,0,0,0,0,65.6354,61.9211,58.3496,54.0895,51.2667,50.1532,46867,44722,43.6635,41.5744,40544,39.0164,36.5186,35.0493,30776,28.4913,25.4029,23.6972,0,0,0,0,0,
38830000,03/01/15,6.36,0,1.99,3,27,,4.9276,5.4732,6.3574,5.7591,5.4732,5.7591,5.4732,4.6676,3282,2.3442,2.5167,2.1791,1.7266,1.1084,0.9059,0.7275,0.6471,0.7275,0.4388,0.3799,0.2329,0.1579,0.1579,0.0998,0.0569,0.0406,0,0,0,0,0
38830000,02/01/15,100.83,0,5.8,3,1,,0,0,100.8281,5.1961,4173,3.4927,2884,2.1791,1.8704,1.3359,0.9059,0.7275,0.5722,0.5028,2.1791,3.0791,4.6676,2.1791,1.7266,2.6966,7.3225,5.1961,3.9381,0.0998,0.0275,0.0017,1.7266,2884,,,
38830000,01/01/15,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,12/01/14,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,11/01/14,15.1264,0,1.6312,18,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1264,7.6627,5.7591,5.1961,4.6676,3.7114,2884,2.0212,1.3359,0.5722,0,0,0,
38830000,10/01/14,11.5931,0,1.7203,5,1,,0,0,0,0,11.5931,7.6627,5.4732,4173,3.7114,3282,2.5167,2.0212,1.7266,1.7266,1.2189,2.1791,1.8704,1.5896,1.1084,0.9059,0.5722,0,0,0,0,0,0,0,0,0,0
38830000,09/01/14,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,08/01/14,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,07/01/14,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,06/01/14,15.1264,0,2.4274,1,28,,15.1264,6.0538,5.7591,4173,4173,3.7114,3.7114,3282,2.5167,2.1791,1.8704,1.5896,1.3359,2.5167,2.5167,2.3442,2.0212,1.5896,1.3359,0.9059,0.7275,0.4388,0.3261,0.2329,0.4388,0.7275,1.2189,0,0,0,
38830000,05/01/14,32.1777,1.5896,7.2919,30,23,,18.0794,15.1264,10.3107,9.9032,9.9032,8.7397,9.5056,8.0122,12.0408,6.67,5.7591,5.1961,4173,4.6676,3.7114,3.4927,3.0791,2884,3282,3282,2.5167,2.0212,1.5896,2.1791,2.1791,2.0212,2.3442,2.1791,1.8704,32.1777,27.1518
38830000,04/01/14,111.2507,0.2771,12.9873,28,27,0,1.7266,3.0791,2.5167,2.6966,2884,2884,3.7114,42.0931,18.0794,18.0794,17.3231,14.4188,10.7281,2884,2.1791,1.8704,2.0212,2884,2.1791,1.7266,1.3359,1.1084,0.9059,0.7275,0.5028,0.3799,0.2771,111.2507,73.5037,43.6635,
38830000,03/01/14,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,02/01/14,114.6025,0,5503,18,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.6025,15.1264,10.3107,3.4927,2.5167,2.1791,1.8704,1.3359,1.1084,0.8138,0.7275,,,
38830000,01/01/14,0.6471,0,0.0697,3,5,,0.5722,0.5028,0.6471,0.4388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,12/01/13,33.1249,0,1.8036,21,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1249,5.7591,2884,2.1791,3.0791,2.1791,2.0212,1.3359,1.3359,1.1084,0.9059
38830000,11/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,10/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,09/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,08/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,07/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,06/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,05/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,04/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,03/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,02/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
38830000,01/01/13,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,12/01/12,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,11/01/12,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,10/01/12,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
